"date","geography","SIP"
2020-02-15,"Austria",0
2020-02-16,"Austria",0
2020-02-17,"Austria",0
2020-02-18,"Austria",0
2020-02-19,"Austria",0
2020-02-20,"Austria",0
2020-02-21,"Austria",0
2020-02-22,"Austria",0
2020-02-23,"Austria",0
2020-02-24,"Austria",0
2020-02-25,"Austria",0
2020-02-26,"Austria",0
2020-02-27,"Austria",0
2020-02-28,"Austria",0
2020-02-29,"Austria",0
2020-03-01,"Austria",0
2020-03-02,"Austria",0
2020-03-03,"Austria",0
2020-03-04,"Austria",0
2020-03-05,"Austria",0
2020-03-06,"Austria",0
2020-03-07,"Austria",0
2020-03-08,"Austria",0
2020-03-09,"Austria",0
2020-03-10,"Austria",0
2020-03-11,"Austria",0
2020-03-12,"Austria",0
2020-03-13,"Austria",0
2020-03-14,"Austria",0
2020-03-15,"Austria",2
2020-03-16,"Austria",3
2020-03-17,"Austria",3
2020-03-18,"Austria",3
2020-03-19,"Austria",3
2020-03-20,"Austria",3
2020-03-21,"Austria",3
2020-03-22,"Austria",3
2020-03-23,"Austria",3
2020-03-24,"Austria",3
2020-03-25,"Austria",3
2020-03-26,"Austria",3
2020-03-27,"Austria",3
2020-03-28,"Austria",3
2020-03-29,"Austria",3
2020-03-30,"Austria",3
2020-03-31,"Austria",3
2020-04-01,"Austria",3
2020-04-02,"Austria",3
2020-04-03,"Austria",3
2020-04-04,"Austria",3
2020-04-05,"Austria",3
2020-04-06,"Austria",3
2020-04-07,"Austria",3
2020-04-08,"Austria",3
2020-04-09,"Austria",3
2020-04-10,"Austria",3
2020-04-11,"Austria",3
2020-04-12,"Austria",3
2020-04-13,"Austria",3
2020-04-14,"Austria",2
2020-04-15,"Austria",2
2020-04-16,"Austria",2
2020-04-17,"Austria",2
2020-04-18,"Austria",2
2020-04-19,"Austria",2
2020-04-20,"Austria",2
2020-04-21,"Austria",2
2020-04-22,"Austria",2
2020-04-23,"Austria",2
2020-04-24,"Austria",2
2020-04-25,"Austria",2
2020-04-26,"Austria",2
2020-04-27,"Austria",2
2020-04-28,"Austria",2
2020-04-29,"Austria",2
2020-04-30,"Austria",2
2020-05-01,"Austria",2
2020-05-02,"Austria",2
2020-05-03,"Austria",2
2020-05-04,"Austria",2
2020-05-05,"Austria",2
2020-05-06,"Austria",2
2020-05-07,"Austria",2
2020-05-08,"Austria",2
2020-05-09,"Austria",2
2020-05-10,"Austria",2
2020-05-11,"Austria",2
2020-05-12,"Austria",2
2020-05-13,"Austria",2
2020-05-14,"Austria",2
2020-05-15,"Austria",1
2020-05-16,"Austria",1
2020-05-17,"Austria",1
2020-05-18,"Austria",1
2020-05-19,"Austria",1
2020-05-20,"Austria",1
2020-05-21,"Austria",1
2020-05-22,"Austria",1
2020-05-23,"Austria",1
2020-05-24,"Austria",1
2020-05-25,"Austria",1
2020-05-26,"Austria",1
2020-05-27,"Austria",1
2020-05-28,"Austria",1
2020-05-29,"Austria",1
2020-05-30,"Austria",1
2020-05-31,"Austria",1
2020-02-15,"Australia",1
2020-02-16,"Australia",1
2020-02-17,"Australia",1
2020-02-18,"Australia",1
2020-02-19,"Australia",1
2020-02-20,"Australia",1
2020-02-21,"Australia",1
2020-02-22,"Australia",1
2020-02-23,"Australia",1
2020-02-24,"Australia",1
2020-02-25,"Australia",1
2020-02-26,"Australia",1
2020-02-27,"Australia",1
2020-02-28,"Australia",1
2020-02-29,"Australia",1
2020-03-01,"Australia",1
2020-03-02,"Australia",1
2020-03-03,"Australia",1
2020-03-04,"Australia",1
2020-03-05,"Australia",1
2020-03-06,"Australia",1
2020-03-07,"Australia",1
2020-03-08,"Australia",1
2020-03-09,"Australia",1
2020-03-10,"Australia",1
2020-03-11,"Australia",1
2020-03-12,"Australia",1
2020-03-13,"Australia",1
2020-03-14,"Australia",1
2020-03-15,"Australia",1
2020-03-16,"Australia",1
2020-03-17,"Australia",1
2020-03-18,"Australia",1
2020-03-19,"Australia",1
2020-03-20,"Australia",1
2020-03-21,"Australia",1
2020-03-22,"Australia",2
2020-03-23,"Australia",2
2020-03-24,"Australia",2
2020-03-25,"Australia",2
2020-03-26,"Australia",3
2020-03-27,"Australia",3
2020-03-28,"Australia",3
2020-03-29,"Australia",3
2020-03-30,"Australia",3
2020-03-31,"Australia",3
2020-04-01,"Australia",3
2020-04-02,"Australia",3
2020-04-03,"Australia",3
2020-04-04,"Australia",3
2020-04-05,"Australia",3
2020-04-06,"Australia",3
2020-04-07,"Australia",3
2020-04-08,"Australia",3
2020-04-09,"Australia",3
2020-04-10,"Australia",3
2020-04-11,"Australia",3
2020-04-12,"Australia",3
2020-04-13,"Australia",3
2020-04-14,"Australia",3
2020-04-15,"Australia",3
2020-04-16,"Australia",3
2020-04-17,"Australia",3
2020-04-18,"Australia",3
2020-04-19,"Australia",3
2020-04-20,"Australia",3
2020-04-21,"Australia",3
2020-04-22,"Australia",3
2020-04-23,"Australia",3
2020-04-24,"Australia",3
2020-04-25,"Australia",3
2020-04-26,"Australia",3
2020-04-27,"Australia",2
2020-04-28,"Australia",2
2020-04-29,"Australia",2
2020-04-30,"Australia",2
2020-05-01,"Australia",2
2020-05-02,"Australia",2
2020-05-03,"Australia",2
2020-05-04,"Australia",2
2020-05-05,"Australia",2
2020-05-06,"Australia",2
2020-05-07,"Australia",2
2020-05-08,"Australia",2
2020-05-09,"Australia",2
2020-05-10,"Australia",2
2020-05-11,"Australia",2
2020-05-12,"Australia",2
2020-05-13,"Australia",1
2020-05-14,"Australia",1
2020-05-15,"Australia",1
2020-05-16,"Australia",1
2020-05-17,"Australia",1
2020-05-18,"Australia",1
2020-05-19,"Australia",1
2020-05-20,"Australia",1
2020-05-21,"Australia",1
2020-05-22,"Australia",1
2020-05-23,"Australia",1
2020-05-24,"Australia",1
2020-05-25,"Australia",1
2020-05-26,"Australia",1
2020-05-27,"Australia",1
2020-05-28,"Australia",1
2020-05-29,"Australia",1
2020-05-30,"Australia",1
2020-05-31,"Australia",1
2020-02-15,"Belgium",0
2020-02-16,"Belgium",0
2020-02-17,"Belgium",0
2020-02-18,"Belgium",0
2020-02-19,"Belgium",0
2020-02-20,"Belgium",0
2020-02-21,"Belgium",0
2020-02-22,"Belgium",0
2020-02-23,"Belgium",0
2020-02-24,"Belgium",0
2020-02-25,"Belgium",0
2020-02-26,"Belgium",0
2020-02-27,"Belgium",0
2020-02-28,"Belgium",0
2020-02-29,"Belgium",0
2020-03-01,"Belgium",0
2020-03-02,"Belgium",0
2020-03-03,"Belgium",0
2020-03-04,"Belgium",0
2020-03-05,"Belgium",0
2020-03-06,"Belgium",0
2020-03-07,"Belgium",0
2020-03-08,"Belgium",0
2020-03-09,"Belgium",0
2020-03-10,"Belgium",0
2020-03-11,"Belgium",0
2020-03-12,"Belgium",2
2020-03-13,"Belgium",2
2020-03-14,"Belgium",2
2020-03-15,"Belgium",2
2020-03-16,"Belgium",2
2020-03-17,"Belgium",2
2020-03-18,"Belgium",3
2020-03-19,"Belgium",3
2020-03-20,"Belgium",3
2020-03-21,"Belgium",3
2020-03-22,"Belgium",3
2020-03-23,"Belgium",3
2020-03-24,"Belgium",3
2020-03-25,"Belgium",3
2020-03-26,"Belgium",3
2020-03-27,"Belgium",3
2020-03-28,"Belgium",3
2020-03-29,"Belgium",3
2020-03-30,"Belgium",3
2020-03-31,"Belgium",3
2020-04-01,"Belgium",3
2020-04-02,"Belgium",3
2020-04-03,"Belgium",3
2020-04-04,"Belgium",3
2020-04-05,"Belgium",3
2020-04-06,"Belgium",3
2020-04-07,"Belgium",3
2020-04-08,"Belgium",3
2020-04-09,"Belgium",3
2020-04-10,"Belgium",3
2020-04-11,"Belgium",3
2020-04-12,"Belgium",3
2020-04-13,"Belgium",3
2020-04-14,"Belgium",3
2020-04-15,"Belgium",3
2020-04-16,"Belgium",3
2020-04-17,"Belgium",3
2020-04-18,"Belgium",3
2020-04-19,"Belgium",3
2020-04-20,"Belgium",3
2020-04-21,"Belgium",3
2020-04-22,"Belgium",3
2020-04-23,"Belgium",3
2020-04-24,"Belgium",3
2020-04-25,"Belgium",3
2020-04-26,"Belgium",3
2020-04-27,"Belgium",3
2020-04-28,"Belgium",3
2020-04-29,"Belgium",3
2020-04-30,"Belgium",3
2020-05-01,"Belgium",3
2020-05-02,"Belgium",3
2020-05-03,"Belgium",3
2020-05-04,"Belgium",2
2020-05-05,"Belgium",2
2020-05-06,"Belgium",2
2020-05-07,"Belgium",2
2020-05-08,"Belgium",2
2020-05-09,"Belgium",2
2020-05-10,"Belgium",2
2020-05-11,"Belgium",2
2020-05-12,"Belgium",2
2020-05-13,"Belgium",2
2020-05-14,"Belgium",2
2020-05-15,"Belgium",2
2020-05-16,"Belgium",2
2020-05-17,"Belgium",2
2020-05-18,"Belgium",1
2020-05-19,"Belgium",1
2020-05-20,"Belgium",1
2020-05-21,"Belgium",1
2020-05-22,"Belgium",1
2020-05-23,"Belgium",1
2020-05-24,"Belgium",1
2020-05-25,"Belgium",1
2020-05-26,"Belgium",1
2020-05-27,"Belgium",1
2020-05-28,"Belgium",1
2020-05-29,"Belgium",1
2020-05-30,"Belgium",1
2020-05-31,"Belgium",1
2020-02-15,"Brazil",0
2020-02-16,"Brazil",0
2020-02-17,"Brazil",0
2020-02-18,"Brazil",0
2020-02-19,"Brazil",0
2020-02-20,"Brazil",0
2020-02-21,"Brazil",0
2020-02-22,"Brazil",0
2020-02-23,"Brazil",0
2020-02-24,"Brazil",0
2020-02-25,"Brazil",0
2020-02-26,"Brazil",0
2020-02-27,"Brazil",0
2020-02-28,"Brazil",0
2020-02-29,"Brazil",0
2020-03-01,"Brazil",0
2020-03-02,"Brazil",0
2020-03-03,"Brazil",0
2020-03-04,"Brazil",0
2020-03-05,"Brazil",0
2020-03-06,"Brazil",0
2020-03-07,"Brazil",0
2020-03-08,"Brazil",0
2020-03-09,"Brazil",0
2020-03-10,"Brazil",0
2020-03-11,"Brazil",0
2020-03-12,"Brazil",0
2020-03-13,"Brazil",0
2020-03-14,"Brazil",1
2020-03-15,"Brazil",1
2020-03-16,"Brazil",1
2020-03-17,"Brazil",2
2020-03-18,"Brazil",2
2020-03-19,"Brazil",2
2020-03-20,"Brazil",2
2020-03-21,"Brazil",2
2020-03-22,"Brazil",2
2020-03-23,"Brazil",2
2020-03-24,"Brazil",2
2020-03-25,"Brazil",2
2020-03-26,"Brazil",2
2020-03-27,"Brazil",2
2020-03-28,"Brazil",2
2020-03-29,"Brazil",2
2020-03-30,"Brazil",2
2020-03-31,"Brazil",2
2020-04-01,"Brazil",2
2020-04-02,"Brazil",2
2020-04-03,"Brazil",2
2020-04-04,"Brazil",2
2020-04-05,"Brazil",2
2020-04-06,"Brazil",2
2020-04-07,"Brazil",1
2020-04-08,"Brazil",1
2020-04-09,"Brazil",1
2020-04-10,"Brazil",1
2020-04-11,"Brazil",1
2020-04-12,"Brazil",1
2020-04-13,"Brazil",1
2020-04-14,"Brazil",1
2020-04-15,"Brazil",1
2020-04-16,"Brazil",1
2020-04-17,"Brazil",1
2020-04-18,"Brazil",1
2020-04-19,"Brazil",1
2020-04-20,"Brazil",1
2020-04-21,"Brazil",1
2020-04-22,"Brazil",1
2020-04-23,"Brazil",1
2020-04-24,"Brazil",1
2020-04-25,"Brazil",1
2020-04-26,"Brazil",1
2020-04-27,"Brazil",1
2020-04-28,"Brazil",1
2020-04-29,"Brazil",1
2020-04-30,"Brazil",1
2020-05-01,"Brazil",1
2020-05-02,"Brazil",1
2020-05-03,"Brazil",1
2020-05-04,"Brazil",1
2020-05-05,"Brazil",1
2020-05-06,"Brazil",1
2020-05-07,"Brazil",1
2020-05-08,"Brazil",1
2020-05-09,"Brazil",1
2020-05-10,"Brazil",1
2020-05-11,"Brazil",1
2020-05-12,"Brazil",1
