"geography","date","percent_red","mars_elec","breakpoint","SIP_change","breakpoint_and_SIP_chg"
"Australia",2020-02-16,0.0270911587097576,0.039765511475767,1,NA,NA
"Australia",2020-02-17,0.0359209857756062,0.0314120449008884,NA,NA,NA
"Australia",2020-02-18,0.0292708298056646,0.0230585783259819,NA,NA,NA
"Australia",2020-02-19,-0.0132826894816243,0.0147051117510915,NA,NA,NA
"Australia",2020-02-20,-0.00171975991767094,0.00635164517620128,NA,NA,NA
"Australia",2020-02-21,-0.0115822216384135,-0.00200182139869415,NA,NA,NA
"Australia",2020-02-22,-0.017855743415257,-0.0103552879735884,NA,NA,NA
"Australia",2020-02-23,-0.0396481885116681,-0.0187087545484813,NA,NA,NA
"Australia",2020-02-24,-0.00519212093157944,-0.0270622211233742,NA,NA,NA
"Australia",2020-02-25,-0.03004179330862,-0.0354156876982674,1,NA,NA
"Australia",2020-02-26,-0.0272513035665175,-0.0293618612567039,NA,NA,NA
"Australia",2020-02-27,-0.01359733136498,-0.0233080348151404,NA,NA,NA
"Australia",2020-02-28,-0.0154279900041708,-0.0172542083735769,NA,NA,NA
"Australia",2020-02-29,-0.015057998109289,-0.0112003819320133,NA,NA,NA
"Australia",2020-03-01,-0.0309119570634001,-0.00514655549044982,NA,NA,NA
"Australia",2020-03-02,0.0128742023678006,0.000907270951113719,NA,NA,NA
"Australia",2020-03-03,0.0241692969690023,0.00696109739267725,NA,NA,NA
"Australia",2020-03-04,0.0178346516585093,0.0130149238342407,NA,NA,NA
"Australia",2020-03-05,0.0290355133974548,0.0190687502758043,NA,NA,NA
"Australia",2020-03-06,0.0203052045270922,0.0251225767173679,1,NA,NA
"Australia",2020-03-07,0.00128159138025869,0.00979173045555247,NA,NA,NA
"Australia",2020-03-08,-0.0177744151152715,-0.00553911580626287,NA,NA,NA
"Australia",2020-03-09,-0.0567430936564218,-0.0208699620680783,NA,NA,NA
"Australia",2020-03-10,-0.030207271816059,-0.0362008083298935,NA,NA,NA
"Australia",2020-03-11,-0.048466323804918,-0.0515316545917089,1,NA,NA
"Australia",2020-03-12,-0.0462883303420618,-0.0495634941569209,NA,NA,NA
"Australia",2020-03-13,-0.039006626276534,-0.047595333722133,NA,NA,NA
"Australia",2020-03-14,-0.0421715197644639,-0.0456271732873449,NA,NA,NA
"Australia",2020-03-15,-0.041298755062055,-0.0436590128525569,NA,NA,NA
"Australia",2020-03-16,-0.0421637659350891,-0.041690852417769,NA,NA,NA
"Australia",2020-03-17,-0.0504193077753305,-0.0397226919829808,NA,NA,NA
"Australia",2020-03-18,-0.0589363815461356,-0.037754531548193,NA,NA,NA
"Australia",2020-03-19,-0.0655547981312995,-0.0357863711134047,NA,NA,NA
"Australia",2020-03-20,-0.0518939792745776,-0.0338182106786168,NA,NA,NA
"Australia",2020-03-21,0.00359541503502103,-0.0318500502438288,NA,NA,NA
"Australia",2020-03-22,-0.00944236589963963,-0.029881889809041,1,1,1
"Australia",2020-03-23,-0.0126075616964821,-0.029881889809041,NA,NA,NA
"Australia",2020-03-24,-0.019052984196752,-0.029881889809041,NA,NA,NA
"Australia",2020-03-25,-0.0443487467536607,-0.029881889809041,NA,NA,NA
"Australia",2020-03-26,-0.0497916162961288,-0.029881889809041,1,1,1
"Australia",2020-03-27,-0.046025993966793,-0.063203397098693,1,NA,NA
"Australia",2020-03-28,-0.0644969290868588,-0.0565974760572249,NA,NA,NA
"Australia",2020-03-29,-0.0529505210606277,-0.0499915550157568,NA,NA,NA
"Australia",2020-03-30,-0.045546518161239,-0.0433856339742887,NA,NA,NA
"Australia",2020-03-31,-0.0442564047468324,-0.0367797129328206,NA,NA,NA
"Australia",2020-04-01,-0.0216262839253461,-0.0301737918913525,NA,NA,NA
"Australia",2020-04-02,0.00653054760858717,-0.0235678708498844,NA,NA,NA
"Australia",2020-04-03,-0.0175997036202312,-0.0169619498084163,NA,NA,NA
