"hour","period","load_Q10","load_median","load_Q90","day_type","cluster","cluster_name","geography","Day.type"
0,"Apr-20",18776.079,19180.9575,19678.0955,"workday",3,"Mild","Australia","workday - April 2020"
0,"Historic (April 2016-2019)",18398.2,19244.835,19862.596,"workday",3,"Mild","Australia","workday - Historic (April 2016-2019)"
1,"Apr-20",17877.707,18190.13,18607.263,"workday",3,"Mild","Australia","workday - April 2020"
1,"Historic (April 2016-2019)",17464.503,18163.61,18687.093,"workday",3,"Mild","Australia","workday - Historic (April 2016-2019)"
2,"Apr-20",16960.8805,17373.6325,17687.7155,"workday",3,"Mild","Australia","workday - April 2020"
2,"Historic (April 2016-2019)",16625.503,17294.415,17777.927,"workday",3,"Mild","Australia","workday - Historic (April 2016-2019)"
3,"Apr-20",16618.289,16951.065,17342.956,"workday",3,"Mild","Australia","workday - April 2020"
3,"Historic (April 2016-2019)",16290.632,17016.245,17419.217,"workday",3,"Mild","Australia","workday - Historic (April 2016-2019)"
4,"Apr-20",16735.944,17078.445,17610.8265,"workday",3,"Mild","Australia","workday - April 2020"
4,"Historic (April 2016-2019)",16516.898,17174.335,17775.157,"workday",3,"Mild","Australia","workday - Historic (April 2016-2019)"
5,"Apr-20",17429.2785,17944.5825,18912.06,"workday",3,"Mild","Australia","workday - April 2020"
5,"Historic (April 2016-2019)",17742.463,18322.725,18907.721,"workday",3,"Mild","Australia","workday - Historic (April 2016-2019)"
6,"Apr-20",18829.492,19611.7625,20425.7875,"workday",3,"Mild","Australia","workday - April 2020"
6,"Historic (April 2016-2019)",19857.485,20526.705,21265.446,"workday",3,"Mild","Australia","workday - Historic (April 2016-2019)"
7,"Apr-20",19613.445,20603.4475,21290.071,"workday",3,"Mild","Australia","workday - April 2020"
7,"Historic (April 2016-2019)",21330.304,22140.17,22804.441,"workday",3,"Mild","Australia","workday - Historic (April 2016-2019)"
8,"Apr-20",19662.7635,20603.0775,21290.185,"workday",3,"Mild","Australia","workday - April 2020"
8,"Historic (April 2016-2019)",21569.556,22325.975,23145.056,"workday",3,"Mild","Australia","workday - Historic (April 2016-2019)"
9,"Apr-20",19033.189,19921.0375,21133.575,"workday",3,"Mild","Australia","workday - April 2020"
9,"Historic (April 2016-2019)",21168.509,22025.095,22934.313,"workday",3,"Mild","Australia","workday - Historic (April 2016-2019)"
10,"Apr-20",18330.8765,19307.8525,20847.1755,"workday",3,"Mild","Australia","workday - April 2020"
10,"Historic (April 2016-2019)",20761.167,21704.36,22942.957,"workday",3,"Mild","Australia","workday - Historic (April 2016-2019)"
11,"Apr-20",18127.7435,19099.415,20325.292,"workday",3,"Mild","Australia","workday - April 2020"
11,"Historic (April 2016-2019)",20674.656,21566.56,22859.414,"workday",3,"Mild","Australia","workday - Historic (April 2016-2019)"
12,"Apr-20",18252.193,19225.9225,20578.6755,"workday",3,"Mild","Australia","workday - April 2020"
12,"Historic (April 2016-2019)",20535.779,21750.88,23004.305,"workday",3,"Mild","Australia","workday - Historic (April 2016-2019)"
13,"Apr-20",18685.788,19427.8525,21013.932,"workday",3,"Mild","Australia","workday - April 2020"
13,"Historic (April 2016-2019)",20697.886,21940.78,23279.322,"workday",3,"Mild","Australia","workday - Historic (April 2016-2019)"
14,"Apr-20",19239.183,19737.8525,21453.514,"workday",3,"Mild","Australia","workday - April 2020"
14,"Historic (April 2016-2019)",21111.521,22225.825,23632.392,"workday",3,"Mild","Australia","workday - Historic (April 2016-2019)"
15,"Apr-20",20027.549,20644.57,22272.7945,"workday",3,"Mild","Australia","workday - April 2020"
15,"Historic (April 2016-2019)",21743.604,22692.08,24000.611,"workday",3,"Mild","Australia","workday - Historic (April 2016-2019)"
16,"Apr-20",21411.066,22042.735,23474.12,"workday",3,"Mild","Australia","workday - April 2020"
16,"Historic (April 2016-2019)",22580.724,23441.63,24487.266,"workday",3,"Mild","Australia","workday - Historic (April 2016-2019)"
17,"Apr-20",23167.9195,23756.795,24379.0685,"workday",3,"Mild","Australia","workday - April 2020"
17,"Historic (April 2016-2019)",23478.469,24308.95,25186.645,"workday",3,"Mild","Australia","workday - Historic (April 2016-2019)"
18,"Apr-20",23943.998,24455.0025,25181.414,"workday",3,"Mild","Australia","workday - April 2020"
18,"Historic (April 2016-2019)",24108.503,24871.22,25695.769,"workday",3,"Mild","Australia","workday - Historic (April 2016-2019)"
