"country","variable","coefficient","p_value","standard_error"
"Austria","CI 1 early","-","-","-"
"Austria","CI 1 late","-10.039","0","0.594"
"Austria","CI 2 early","-8.889","0","0.401"
"Austria","CI 2 late","-11.766","0","0.672"
"Austria","CI 3","-11.26","0","0.82"
"Austria","const","1.397","0.001","0.401"
"Austria","N","-","107","-"
"Austria","R2","-","0.755","-"
"Australia","CI 1 early","-1.116","0.002","0.361"
"Australia","CI 1 late","-","-","-"
"Australia","CI 2 early","-1.02","0.241","0.87"
"Australia","CI 2 late","-1.422","0.013","0.575"
"Australia","CI 3","-1.476","0.008","0.557"
"Australia","const","-","-","-"
"Australia","N","-","107","-"
"Australia","R2","-","0.081","-"
"Belgium","CI 1 early","-","-","-"
"Belgium","CI 1 late","-2.064","0.001","0.621"
"Belgium","CI 2 early","-2.711","0.001","0.846"
"Belgium","CI 2 late","-5.298","0","0.944"
"Belgium","CI 3","-9.797","0","0.549"
"Belgium","const","-0.735","0.015","0.302"
"Belgium","N","-","107","-"
"Belgium","R2","-","0.718","-"
"Brazil","CI 1 early","4.013","0","0.906"
"Brazil","CI 1 late","-8.104","0","0.879"
"Brazil","CI 2 early","-5.108","0","1.299"
"Brazil","CI 2 late","-","-","-"
"Brazil","CI 3","-","-","-"
"Brazil","const","-2.997","0","0.797"
"Brazil","N","-","107","-"
"Brazil","R2","-","0.479","-"
"British Columbia","CI 1 early","-2.218","0.196","1.713"
"British Columbia","CI 1 late","-4.69","0","0.443"
"British Columbia","CI 2 early","-3.489","0","0.58"
"British Columbia","CI 2 late","-","-","-"
"British Columbia","CI 3","-","-","-"
"British Columbia","const","-0.923","0.016","0.381"
"British Columbia","N","-","107","-"
"British Columbia","R2","-","0.361","-"
"Bulgaria","CI 1 early","5.375","0","0.86"
"Bulgaria","CI 1 late","-3.883","0","1.011"
"Bulgaria","CI 2 early","1.27","0.25","1.104"
"Bulgaria","CI 2 late","-","-","-"
"Bulgaria","CI 3","-","-","-"
"Bulgaria","const","-0.832","0.293","0.79"
"Bulgaria","N","-","107","-"
"Bulgaria","R2","-","0.286","-"
"Chile","CI 1 early","-","-","-"
"Chile","CI 1 late","-","-","-"
"Chile","CI 2 early","-3.309","0","0.369"
"Chile","CI 2 late","-","-","-"
"Chile","CI 3","-","-","-"
"Chile","const","0.244","0.395","0.287"
"Chile","N","-","107","-"
