"geography","Term","Break Point","Date","Slope After","Slope Before","Day since start of period"
"Australia","CI 1 - early","start","2020-02-15","0.15","-",0
"Australia","CI 1 - early","BP1","2020-03-11","0.00","0.152",26
"Australia","CI 2 - early","start","2020-03-28","0.00","0.0",0
"Australia","CI 2 - early","BP1","2020-04-08","-0.45","0.0",12
"Australia","CI 2 - early","BP2","2020-05-03","0.41","-0.446",37
"Australia","CI 1 - late","start","2020-05-15","0.00","0.407",0
"Australia","CI 1 - late","end","2020-05-31","NA","0.0",17
"Austria","CI 1 - early","start","2020-02-15","0.15","-",0
"Austria","CI 1 - early","BP1","2020-03-11","0.00","0.152",26
"Austria","CI 2 - early","start","2020-03-28","0.00","0.0",0
"Austria","CI 2 - early","BP1","2020-04-08","-0.45","0.0",12
"Austria","CI 2 - early","BP2","2020-05-03","0.41","-0.446",37
"Austria","CI 1 - late","start","2020-05-15","0.00","0.407",0
"Austria","CI 1 - late","end","2020-05-31","NA","0.0",17
"Belgium","CI 1 - early","start","2020-02-15","0.15","-",0
"Belgium","CI 1 - early","BP1","2020-03-11","0.00","0.152",26
"Belgium","CI 2 - early","start","2020-03-28","0.00","0.0",0
"Belgium","CI 2 - early","BP1","2020-04-08","-0.45","0.0",12
"Belgium","CI 2 - early","BP2","2020-05-03","0.41","-0.446",37
"Belgium","CI 1 - late","start","2020-05-15","0.00","0.407",0
"Belgium","CI 1 - late","end","2020-05-31","NA","0.0",17
"Brazil","CI 1 - early","start","2020-02-15","0.15","-",0
"Brazil","CI 1 - early","BP1","2020-03-11","0.00","0.152",26
"Brazil","CI 2 - early","start","2020-03-28","0.00","0.0",0
"Brazil","CI 2 - early","BP1","2020-04-08","-0.45","0.0",12
"Brazil","CI 2 - early","BP2","2020-05-03","0.41","-0.446",37
"Brazil","CI 1 - late","start","2020-05-15","0.00","0.407",0
"Brazil","CI 1 - late","end","2020-05-31","NA","0.0",17
"Canada: British Columbia","CI 1 - early","start","2020-02-15","0.15","-",0
"Canada: British Columbia","CI 1 - early","BP1","2020-03-11","0.00","0.152",26
"Canada: British Columbia","CI 2 - early","start","2020-03-28","0.00","0.0",0
"Canada: British Columbia","CI 2 - early","BP1","2020-04-08","-0.45","0.0",12
"Canada: British Columbia","CI 2 - early","BP2","2020-05-03","0.41","-0.446",37
"Canada: British Columbia","CI 1 - late","start","2020-05-15","0.00","0.407",0
"Canada: British Columbia","CI 1 - late","end","2020-05-31","NA","0.0",17
"Bulgaria","CI 1 - early","start","2020-02-15","0.15","-",0
"Bulgaria","CI 1 - early","BP1","2020-03-11","0.00","0.152",26
"Bulgaria","CI 2 - early","start","2020-03-28","0.00","0.0",0
"Bulgaria","CI 2 - early","BP1","2020-04-08","-0.45","0.0",12
"Bulgaria","CI 2 - early","BP2","2020-05-03","0.41","-0.446",37
"Bulgaria","CI 1 - late","start","2020-05-15","0.00","0.407",0
"Bulgaria","CI 1 - late","end","2020-05-31","NA","0.0",17
"Chile","CI 1 - early","start","2020-02-15","0.15","-",0
"Chile","CI 1 - early","BP1","2020-03-11","0.00","0.152",26
"Chile","CI 2 - early","start","2020-03-28","0.00","0.0",0
"Chile","CI 2 - early","BP1","2020-04-08","-0.45","0.0",12
"Chile","CI 2 - early","BP2","2020-05-03","0.41","-0.446",37
"Chile","CI 1 - late","start","2020-05-15","0.00","0.407",0
"Chile","CI 1 - late","end","2020-05-31","NA","0.0",17
"Croatia","CI 1 - early","start","2020-02-15","0.15","-",0
"Croatia","CI 1 - early","BP1","2020-03-11","0.00","0.152",26
"Croatia","CI 2 - early","start","2020-03-28","0.00","0.0",0
"Croatia","CI 2 - early","BP1","2020-04-08","-0.45","0.0",12
"Croatia","CI 2 - early","BP2","2020-05-03","0.41","-0.446",37
"Croatia","CI 1 - late","start","2020-05-15","0.00","0.407",0
"Croatia","CI 1 - late","end","2020-05-31","NA","0.0",17
"Czech Republic","CI 1 - early","start","2020-02-15","0.15","-",0
"Czech Republic","CI 1 - early","BP1","2020-03-11","0.00","0.152",26
"Czech Republic","CI 2 - early","start","2020-03-28","0.00","0.0",0
"Czech Republic","CI 2 - early","BP1","2020-04-08","-0.45","0.0",12
"Czech Republic","CI 2 - early","BP2","2020-05-03","0.41","-0.446",37
"Czech Republic","CI 1 - late","start","2020-05-15","0.00","0.407",0
"Czech Republic","CI 1 - late","end","2020-05-31","NA","0.0",17
"Denmark","CI 1 - early","start","2020-02-15","0.15","-",0
"Denmark","CI 1 - early","BP1","2020-03-11","0.00","0.152",26
"Denmark","CI 2 - early","start","2020-03-28","0.00","0.0",0
"Denmark","CI 2 - early","BP1","2020-04-08","-0.45","0.0",12
"Denmark","CI 2 - early","BP2","2020-05-03","0.41","-0.446",37
"Denmark","CI 1 - late","start","2020-05-15","0.00","0.407",0
"Denmark","CI 1 - late","end","2020-05-31","NA","0.0",17
"Estonia","CI 1 - early","start","2020-02-15","0.15","-",0
"Estonia","CI 1 - early","BP1","2020-03-11","0.00","0.152",26
"Estonia","CI 2 - early","start","2020-03-28","0.00","0.0",0
"Estonia","CI 2 - early","BP1","2020-04-08","-0.45","0.0",12
"Estonia","CI 2 - early","BP2","2020-05-03","0.41","-0.446",37
"Estonia","CI 1 - late","start","2020-05-15","0.00","0.407",0
"Estonia","CI 1 - late","end","2020-05-31","NA","0.0",17
"Finland","CI 1 - early","start","2020-02-15","0.15","-",0
"Finland","CI 1 - early","BP1","2020-03-11","0.00","0.152",26
"Finland","CI 2 - early","start","2020-03-28","0.00","0.0",0
"Finland","CI 2 - early","BP1","2020-04-08","-0.45","0.0",12
"Finland","CI 2 - early","BP2","2020-05-03","0.41","-0.446",37
"Finland","CI 1 - late","start","2020-05-15","0.00","0.407",0
"Finland","CI 1 - late","end","2020-05-31","NA","0.0",17
"France","CI 1 - early","start","2020-02-15","0.15","-",0
"France","CI 1 - early","BP1","2020-03-11","0.00","0.152",26
"France","CI 2 - early","start","2020-03-28","0.00","0.0",0
"France","CI 2 - early","BP1","2020-04-08","-0.45","0.0",12
"France","CI 2 - early","BP2","2020-05-03","0.41","-0.446",37
"France","CI 1 - late","start","2020-05-15","0.00","0.407",0
"France","CI 1 - late","end","2020-05-31","NA","0.0",17
"Germany","CI 1 - early","start","2020-02-15","0.15","-",0
"Germany","CI 1 - early","BP1","2020-03-11","0.00","0.152",26
"Germany","CI 2 - early","start","2020-03-28","0.00","0.0",0
"Germany","CI 2 - early","BP1","2020-04-08","-0.45","0.0",12
"Germany","CI 2 - early","BP2","2020-05-03","0.41","-0.446",37
"Germany","CI 1 - late","start","2020-05-15","0.00","0.407",0
"Germany","CI 1 - late","end","2020-05-31","NA","0.0",17
"Greece","CI 1 - early","start","2020-02-15","0.15","-",0
"Greece","CI 1 - early","BP1","2020-03-11","0.00","0.152",26
"Greece","CI 2 - early","start","2020-03-28","0.00","0.0",0
"Greece","CI 2 - early","BP1","2020-04-08","-0.45","0.0",12
"Greece","CI 2 - early","BP2","2020-05-03","0.41","-0.446",37
"Greece","CI 1 - late","start","2020-05-15","0.00","0.407",0
"Greece","CI 1 - late","end","2020-05-31","NA","0.0",17
"Hungary","CI 1 - early","start","2020-02-15","0.15","-",0
"Hungary","CI 1 - early","BP1","2020-03-11","0.00","0.152",26
"Hungary","CI 2 - early","start","2020-03-28","0.00","0.0",0
"Hungary","CI 2 - early","BP1","2020-04-08","-0.45","0.0",12
"Hungary","CI 2 - early","BP2","2020-05-03","0.41","-0.446",37
"Hungary","CI 1 - late","start","2020-05-15","0.00","0.407",0
"Hungary","CI 1 - late","end","2020-05-31","NA","0.0",17
"India","CI 1 - early","start","2020-02-15","0.15","-",0
"India","CI 1 - early","BP1","2020-03-11","0.00","0.152",26
"India","CI 2 - early","start","2020-03-28","0.00","0.0",0
"India","CI 2 - early","BP1","2020-04-08","-0.45","0.0",12
"India","CI 2 - early","BP2","2020-05-03","0.41","-0.446",37
"India","CI 1 - late","start","2020-05-15","0.00","0.407",0
"India","CI 1 - late","end","2020-05-31","NA","0.0",17
"Ireland","CI 1 - early","start","2020-02-15","0.15","-",0
"Ireland","CI 1 - early","BP1","2020-03-11","0.00","0.152",26
"Ireland","CI 2 - early","start","2020-03-28","0.00","0.0",0
"Ireland","CI 2 - early","BP1","2020-04-08","-0.45","0.0",12
"Ireland","CI 2 - early","BP2","2020-05-03","0.41","-0.446",37
"Ireland","CI 1 - late","start","2020-05-15","0.00","0.407",0
"Ireland","CI 1 - late","end","2020-05-31","NA","0.0",17
"Italy","CI 1 - early","start","2020-02-15","0.15","-",0
"Italy","CI 1 - early","BP1","2020-03-11","0.00","0.152",26
"Italy","CI 2 - early","start","2020-03-28","0.00","0.0",0
"Italy","CI 2 - early","BP1","2020-04-08","-0.45","0.0",12
"Italy","CI 2 - early","BP2","2020-05-03","0.41","-0.446",37
"Italy","CI 1 - late","start","2020-05-15","0.00","0.407",0
"Italy","CI 1 - late","end","2020-05-31","NA","0.0",17
"Japan","CI 1 - early","start","2020-02-15","0.15","-",0
"Japan","CI 1 - early","BP1","2020-03-11","0.00","0.152",26
"Japan","CI 2 - early","start","2020-03-28","0.00","0.0",0
"Japan","CI 2 - early","BP1","2020-04-08","-0.45","0.0",12
"Japan","CI 2 - early","BP2","2020-05-03","0.41","-0.446",37
"Japan","CI 1 - late","start","2020-05-15","0.00","0.407",0
"Japan","CI 1 - late","end","2020-05-31","NA","0.0",17
"Latvia","CI 1 - early","start","2020-02-15","0.15","-",0
"Latvia","CI 1 - early","BP1","2020-03-11","0.00","0.152",26
"Latvia","CI 2 - early","start","2020-03-28","0.00","0.0",0
