"geography","mobility_type_desc","coefficient","standard_error","p_value","R2","N"
"Australia","Workplace","0.02","0.01","0.22","0.02","107.00"
"Australia","Transit","0.01","0.01","0.12","0.03","107.00"
"Australia","Residential","-0.05","0.04","0.13","0.03","107.00"
"Australia","Retail Recreation","0.02","0.02","0.32","0.01","107.00"
"Australia","Grocery Pharmacy","-0.03","0.02","0.16","0.02","107.00"
"Australia","Parks","0.01","0.01","0.66","0.00","107.00"
"Austria","Workplace","0.18","0.02","0.00","0.56","107.00"
"Austria","Transit","0.17","0.01","0.00","0.65","107.00"
"Austria","Residential","-0.45","0.05","0.00","0.53","107.00"
"Austria","Retail Recreation","0.13","0.01","0.00","0.55","107.00"
"Austria","Grocery Pharmacy","0.13","0.03","0.00","0.25","107.00"
"Austria","Parks","0.10","0.02","0.00","0.21","107.00"
"Belgium","Workplace","0.15","0.01","0.00","0.59","107.00"
"Belgium","Transit","0.15","0.01","0.00","0.66","107.00"
"Belgium","Residential","-0.39","0.02","0.00","0.66","107.00"
"Belgium","Retail Recreation","0.12","0.01","0.00","0.58","107.00"
"Belgium","Grocery Pharmacy","0.16","0.03","0.00","0.33","107.00"
"Belgium","Parks","0.09","0.01","0.00","0.20","107.00"
"Brazil","Workplace","0.20","0.02","0.00","0.63","107.00"
"Brazil","Transit","0.19","0.01","0.00","0.76","107.00"
"Brazil","Residential","-0.61","0.03","0.00","0.77","107.00"
"Brazil","Retail Recreation","0.18","0.01","0.00","0.70","107.00"
"Brazil","Grocery Pharmacy","0.25","0.04","0.00","0.33","107.00"
"Brazil","Parks","0.16","0.02","0.00","0.50","107.00"
"Bulgaria","Workplace","0.08","0.02","0.00","0.10","107.00"
"Bulgaria","Transit","0.06","0.02","0.00","0.09","107.00"
"Bulgaria","Residential","-0.13","0.05","0.01","0.05","107.00"
"Bulgaria","Retail Recreation","0.04","0.02","0.03","0.04","107.00"
"Bulgaria","Grocery Pharmacy","0.03","0.03","0.35","0.01","107.00"
"Bulgaria","Parks","0.01","0.01","0.66","0.00","107.00"
"Canada: British Columbia","Workplace","0.07","0.01","0.00","0.30","107.00"
"Canada: British Columbia","Transit","0.07","0.01","0.00","0.29","107.00"
"Canada: British Columbia","Residential","-0.20","0.03","0.00","0.28","107.00"
"Canada: British Columbia","Retail Recreation","0.07","0.01","0.00","0.26","107.00"
"Canada: British Columbia","Grocery Pharmacy","0.07","0.03","0.01","0.11","107.00"
"Canada: British Columbia","Parks","-0.03","0.01","0.00","0.13","107.00"
"Canada: Ontario","Workplace","0.12","0.01","0.00","0.48","107.00"
"Canada: Ontario","Transit","0.11","0.01","0.00","0.45","107.00"
"Canada: Ontario","Residential","-0.30","0.03","0.00","0.46","107.00"
"Canada: Ontario","Retail Recreation","0.12","0.01","0.00","0.42","107.00"
"Canada: Ontario","Grocery Pharmacy","0.13","0.03","0.00","0.24","107.00"
"Canada: Ontario","Parks","0.02","0.01","0.15","0.01","107.00"
"Chile","Workplace","0.07","0.01","0.00","0.52","107.00"
"Chile","Transit","0.06","0.01","0.00","0.42","107.00"
"Chile","Residential","-0.15","0.02","0.00","0.48","107.00"
"Chile","Retail Recreation","0.05","0.01","0.00","0.38","107.00"
"Chile","Grocery Pharmacy","0.07","0.01","0.00","0.36","107.00"
"Chile","Parks","0.05","0.01","0.00","0.32","107.00"
"Croatia","Workplace","0.14","0.02","0.00","0.44","107.00"
"Croatia","Transit","0.12","0.01","0.00","0.49","107.00"
"Croatia","Residential","-0.29","0.05","0.00","0.28","107.00"
"Croatia","Retail Recreation","0.10","0.01","0.00","0.36","107.00"
"Croatia","Grocery Pharmacy","0.10","0.01","0.00","0.25","107.00"
"Croatia","Parks","0.01","0.02","0.68","0.00","107.00"
"Czech Republic","Workplace","0.16","0.03","0.00","0.28","107.00"
"Czech Republic","Transit","0.15","0.02","0.00","0.30","107.00"
"Czech Republic","Residential","-0.36","0.07","0.00","0.21","107.00"
"Czech Republic","Retail Recreation","0.15","0.01","0.00","0.44","107.00"
"Czech Republic","Grocery Pharmacy","0.08","0.04","0.04","0.04","107.00"
"Czech Republic","Parks","0.01","0.03","0.74","0.00","107.00"
"Denmark","Workplace","0.08","0.01","0.00","0.33","107.00"
"Denmark","Transit","0.10","0.01","0.00","0.40","107.00"
"Denmark","Residential","-0.28","0.04","0.00","0.34","107.00"
"Denmark","Retail Recreation","0.09","0.02","0.00","0.21","107.00"
"Denmark","Grocery Pharmacy","0.05","0.03","0.09","0.02","107.00"
"Denmark","Parks","-0.02","0.01","0.00","0.21","107.00"
"Estonia","Workplace","0.10","0.02","0.00","0.34","107.00"
"Estonia","Transit","0.10","0.02","0.00","0.27","107.00"
"Estonia","Residential","-0.20","0.05","0.00","0.19","107.00"
"Estonia","Retail Recreation","0.09","0.01","0.00","0.29","107.00"
"Estonia","Grocery Pharmacy","0.12","0.03","0.00","0.15","107.00"
"Estonia","Parks","-0.05","0.01","0.00","0.28","107.00"
"Finland","Workplace","0.02","0.01","0.19","0.02","107.00"
"Finland","Transit","0.02","0.01","0.21","0.01","107.00"
"Finland","Residential","-0.03","0.04","0.48","0.01","107.00"
"Finland","Retail Recreation","0.02","0.01","0.18","0.01","107.00"
"Finland","Grocery Pharmacy","-0.01","0.03","0.84","0.00","107.00"
"Finland","Parks","-0.02","0.01","0.00","0.10","107.00"
"France","Workplace","0.21","0.01","0.00","0.71","107.00"
"France","Transit","0.17","0.01","0.00","0.69","107.00"
"France","Residential","-0.45","0.03","0.00","0.70","107.00"
"France","Retail Recreation","0.16","0.01","0.00","0.65","107.00"
"France","Grocery Pharmacy","0.17","0.02","0.00","0.40","107.00"
"France","Parks","0.11","0.01","0.00","0.42","107.00"
"Germany","Workplace","0.14","0.03","0.00","0.38","107.00"
"Germany","Transit","0.15","0.02","0.00","0.46","107.00"
"Germany","Residential","-0.45","0.07","0.00","0.41","107.00"
"Germany","Retail Recreation","0.11","0.02","0.00","0.31","107.00"
"Germany","Grocery Pharmacy","0.03","0.02","0.07","0.02","107.00"
