"geography","mobility_type_desc","coefficient","standard_error","p_value"
"Australia","Workplace","-0.01","0.06","0.91"
"Australia","Transit","-0.08","0.09","0.34"
"Australia","Residential","-0.19","0.16","0.25"
"Australia","Retail Recreation","0.24","0.11","0.03"
"Australia","Grocery Pharmacy","-0.18","0.03","0.00"
"Australia","Parks","-0.10","0.04","0.01"
"Australia","Constant","0.39",NA,NA
"Australia","N",NA,"107.00",NA
"Australia","R2",NA,"0.25",NA
"Austria","Workplace","-0.05","0.06","0.39"
"Austria","Transit","0.41","0.07","0.00"
"Austria","Residential","-0.05","0.16","0.75"
"Austria","Retail Recreation","-0.11","0.05","0.02"
"Austria","Grocery Pharmacy","-0.05","0.04","0.26"
"Austria","Parks","-0.06","0.02","0.00"
"Austria","Constant","2.47",NA,NA
"Austria","N",NA,"107.00",NA
"Austria","R2",NA,"0.72",NA
"Belgium","Workplace","-0.04","0.06","0.51"
"Belgium","Transit","0.07","0.07","0.34"
"Belgium","Residential","-0.30","0.12","0.01"
"Belgium","Retail Recreation","-0.01","0.04","0.88"
"Belgium","Grocery Pharmacy","-0.00","0.03","0.88"
"Belgium","Parks","0.03","0.01","0.03"
"Belgium","Constant","-0.14",NA,NA
"Belgium","N",NA,"107.00",NA
"Belgium","R2",NA,"0.70",NA
"Brazil","Workplace","-0.04","0.07","0.57"
"Brazil","Transit","0.25","0.13","0.06"
"Brazil","Residential","-0.40","0.21","0.05"
"Brazil","Retail Recreation","-0.15","0.08","0.07"
"Brazil","Grocery Pharmacy","-0.08","0.04","0.06"
"Brazil","Parks","0.03","0.04","0.48"
"Brazil","Constant","0.17",NA,NA
"Brazil","N",NA,"107.00",NA
"Brazil","R2",NA,"0.81",NA
"Canada: British Columbia","Workplace","-0.05","0.07","0.53"
"Canada: British Columbia","Transit","-0.04","0.07","0.54"
"Canada: British Columbia","Residential","-0.16","0.17","0.33"
"Canada: British Columbia","Retail Recreation","0.11","0.06","0.09"
"Canada: British Columbia","Grocery Pharmacy","0.01","0.07","0.88"
"Canada: British Columbia","Parks","-0.04","0.01","0.00"
"Canada: British Columbia","Constant","-0.12",NA,NA
"Canada: British Columbia","N",NA,"107.00",NA
"Canada: British Columbia","R2",NA,"0.41",NA
"Bulgaria","Workplace","0.14","0.10","0.17"
"Bulgaria","Transit","0.24","0.09","0.01"
"Bulgaria","Residential","0.46","0.22","0.03"
"Bulgaria","Retail Recreation","-0.06","0.09","0.51"
"Bulgaria","Grocery Pharmacy","-0.20","0.11","0.06"
"Bulgaria","Parks","0.02","0.03","0.63"
"Bulgaria","Constant","1.34",NA,NA
"Bulgaria","N",NA,"107.00",NA
"Bulgaria","R2",NA,"0.27",NA
"Chile","Workplace","0.10","0.04","0.01"
"Chile","Transit","0.02","0.05","0.64"
"Chile","Residential","-0.07","0.09","0.40"
"Chile","Retail Recreation","-0.11","0.05","0.05"
"Chile","Grocery Pharmacy","0.00","0.03","0.91"
"Chile","Parks","0.04","0.04","0.31"
"Chile","Constant","0.29",NA,NA
"Chile","N",NA,"107.00",NA
"Chile","R2",NA,"0.56",NA
"Croatia","Workplace","0.18","0.09","0.05"
"Croatia","Transit","0.19","0.05","0.00"
"Croatia","Residential","0.50","0.20","0.01"
"Croatia","Retail Recreation","-0.06","0.03","0.04"
"Croatia","Grocery Pharmacy","0.02","0.02","0.29"
"Croatia","Parks","-0.05","0.02","0.01"
"Croatia","Constant","0.90",NA,NA
"Croatia","N",NA,"107.00",NA
"Croatia","R2",NA,"0.69",NA
"Czech Republic","Workplace","0.33","0.09","0.00"
"Czech Republic","Transit","-0.32","0.09","0.00"
"Czech Republic","Residential","0.55","0.24","0.02"
"Czech Republic","Retail Recreation","0.36","0.06","0.00"
"Czech Republic","Grocery Pharmacy","-0.12","0.04","0.00"
"Czech Republic","Parks","0.05","0.02","0.02"
"Czech Republic","Constant","-1.64",NA,NA
